trade_id,entry_time,exit_time,direction,entry_price,exit_price,initial_sl,final_sl_at_exit,tp1,tp2,tp1_hit_status,position_size,pnl_pips,pnl_currency,fvg_type_entry,fvg_timestamp_entry,exit_reason,session,entry_candle_idx,exit_candle_idx,duration_candles
241,2024-06-07 01:10:00,2024-06-07 01:15:00,SHORT,2375.73,2375.81,2375.81,2375.81,2375.57,2375.48,False,1.6400000000000001,-8.0,-13.12,bearish,2024-06-07 01:05:00,sl_hit,ny_overlap,7424,7425,1
242,2024-06-07 01:55:00,2024-06-07 02:00:00,LONG,2377.0,2377.25,2376.92,2377.0,2377.16,2377.25,True,1.6,25.0,40.0,bullish,2024-06-07 01:50:00,tp2_hit,ny_overlap,7433,7434,1
243,2024-06-07 02:00:00,2024-06-07 02:05:00,LONG,2377.1,2377.02,2377.02,2377.02,2377.26,2377.35,False,1.7,-8.0,-13.6,bullish,2024-06-07 01:55:00,sl_hit,ny_overlap,7434,7435,1
244,2024-06-07 02:20:00,2024-06-07 02:25:00,LONG,2377.86,2377.78,2377.78,2377.78,2378.02,2378.11,False,1.67,-8.0,-13.36,bullish,2024-06-07 02:15:00,sl_hit,ny_overlap,7438,7439,1
245,2024-06-07 21:15:00,2024-06-07 21:20:00,SHORT,2304.77,2304.85,2304.85,2304.85,2304.61,2304.52,False,1.6400000000000001,-8.0,-13.12,bearish,2024-06-07 21:10:00,sl_hit,london_primary,7665,7666,1
246,2024-06-07 21:35:00,2024-06-07 21:40:00,SHORT,2300.56,2300.64,2300.64,2300.64,2300.4,2300.31,False,1.6,-8.0,-12.8,bearish,2024-06-07 21:30:00,sl_hit,london_primary,7669,7670,1
247,2024-06-07 21:40:00,2024-06-07 21:45:00,SHORT,2301.14,2301.22,2301.22,2301.22,2300.98,2300.89,False,1.57,-8.0,-12.56,bearish,2024-06-07 21:35:00,sl_hit,london_primary,7670,7671,1
248,2024-06-07 22:15:00,2024-06-07 22:20:00,SHORT,2295.63,2295.71,2295.71,2295.71,2295.47,2295.38,False,1.54,-8.0,-12.32,bearish,2024-06-07 22:10:00,sl_hit,london_primary,7677,7678,1
249,2024-06-07 22:20:00,2024-06-07 22:25:00,SHORT,2295.28,2295.36,2295.36,2295.36,2295.12,2295.03,False,1.51,-8.0,-12.08,bearish,2024-06-07 22:15:00,sl_hit,london_primary,7678,7679,1
250,2024-06-07 22:50:00,2024-06-07 22:55:00,SHORT,2290.85,2290.93,2290.93,2290.93,2290.69,2290.6,False,1.48,-8.0,-11.84,bearish,2024-06-07 22:45:00,sl_hit,london_primary,7684,7685,1
251,2024-06-07 23:00:00,2024-06-07 23:05:00,SHORT,2288.28,2288.36,2288.36,2288.36,2288.12,2288.03,False,1.45,-8.0,-11.6,bearish,2024-06-07 22:55:00,sl_hit,london_primary,7686,7687,1
252,2024-06-10 01:25:00,2024-06-10 01:30:00,SHORT,2293.52,2293.6,2293.6,2293.6,2293.36,2293.27,False,1.42,-8.0,-11.36,bearish,2024-06-10 01:20:00,sl_hit,ny_overlap,7703,7704,1
253,2024-06-10 01:40:00,2024-06-10 01:45:00,LONG,2296.2,2296.12,2296.12,2296.12,2296.36,2296.45,False,1.3900000000000001,-8.0,-11.12,bullish,2024-06-10 01:30:00,sl_hit,ny_overlap,7706,7707,1
254,2024-06-10 01:45:00,2024-06-10 01:50:00,LONG,2296.33,2296.25,2296.25,2296.25,2296.49,2296.58,False,1.36,-8.0,-10.88,bullish,2024-06-10 01:40:00,sl_hit,ny_overlap,7707,7708,1
255,2024-06-10 02:25:00,2024-06-10 02:30:00,LONG,2298.79,2298.71,2298.71,2298.71,2298.95,2299.04,False,1.34,-8.0,-10.72,bullish,2024-06-10 02:20:00,sl_hit,ny_overlap,7715,7716,1
256,2024-06-10 02:30:00,2024-06-10 02:35:00,LONG,2298.88,2299.13,2298.8,2298.88,2299.04,2299.13,True,1.31,25.0,32.75,bullish,2024-06-10 02:25:00,tp2_hit,ny_overlap,7716,7717,1
257,2024-06-10 02:40:00,2024-06-10 02:45:00,LONG,2299.65,2299.57,2299.57,2299.57,2299.81,2299.9,False,1.3900000000000001,-8.0,-11.12,bullish,2024-06-10 02:35:00,sl_hit,ny_overlap,7718,7719,1
258,2024-06-10 02:55:00,2024-06-10 03:00:00,SHORT,2298.54,2298.62,2298.62,2298.62,2298.38,2298.29,False,1.36,-8.0,-10.88,bearish,2024-06-10 02:50:00,sl_hit,ny_overlap,7721,7722,1
259,2024-06-10 21:00:00,2024-06-10 21:05:00,SHORT,2311.08,2311.16,2311.16,2311.16,2310.92,2310.83,False,1.34,-8.0,-10.72,bearish,2024-06-10 20:55:00,sl_hit,london_primary,7938,7939,1
260,2024-06-10 21:05:00,2024-06-10 21:10:00,SHORT,2311.27,2311.35,2311.35,2311.35,2311.11,2311.02,False,1.31,-8.0,-10.48,bearish,2024-06-10 21:00:00,sl_hit,london_primary,7939,7940,1
261,2024-06-10 21:50:00,2024-06-10 21:55:00,SHORT,2310.4,2310.48,2310.48,2310.48,2310.24,2310.15,False,1.28,-8.0,-10.24,bearish,2024-06-10 21:45:00,sl_hit,london_primary,7948,7949,1
262,2024-06-10 22:00:00,2024-06-10 22:05:00,LONG,2311.38,2311.63,2311.3,2311.38,2311.54,2311.63,True,1.26,25.0,31.5,bullish,2024-06-10 21:55:00,tp2_hit,london_primary,7950,7951,1
263,2024-06-10 22:05:00,2024-06-10 22:10:00,LONG,2311.85,2311.77,2311.77,2311.77,2312.01,2312.1,False,1.34,-8.0,-10.72,bullish,2024-06-10 22:00:00,sl_hit,london_primary,7951,7952,1
264,2024-06-10 22:30:00,2024-06-10 22:35:00,SHORT,2311.14,2311.22,2311.22,2311.22,2310.98,2310.89,False,1.31,-8.0,-10.48,bearish,2024-06-10 22:25:00,sl_hit,london_primary,7956,7957,1
265,2024-06-10 22:55:00,2024-06-10 23:00:00,SHORT,2308.8,2308.88,2308.88,2308.88,2308.64,2308.55,False,1.28,-8.0,-10.24,bearish,2024-06-10 22:50:00,sl_hit,london_primary,7961,7962,1
