Date;Open;High;Low;Close;Volume
2024.05.31 02:45;2343.68;2343.83;2343.05;2343.46;135
2024.05.31 02:50;2343.56;2343.86;2343.08;2343.37;151
2024.05.31 02:55;2343.37;2344.26;2343.19;2344.05;168
2024.05.31 03:00;2344.0;2344.03;2343.15;2343.31;251
2024.05.31 03:05;2343.31;2344.2;2343.24;2343.7;153
2024.05.31 03:10;2343.7;2344.13;2343.16;2343.32;218
2024.05.31 03:15;2343.31;2344.04;2343.31;2343.56;162
2024.05.31 03:20;2343.57;2343.92;2342.7;2342.72;200
2024.05.31 03:25;2342.82;2343.61;2342.65;2343.07;240
2024.05.31 03:30;2343.07;2344.14;2343.07;2344.11;215
2024.05.31 03:35;2344.1;2344.81;2343.85;2344.4;209
2024.05.31 03:40;2344.37;2345.19;2344.31;2345.13;202
2024.05.31 03:45;2345.15;2347.38;2345.09;2346.37;309
2024.05.31 03:50;2346.37;2347.43;2346.28;2347.43;296
2024.05.31 03:55;2347.37;2347.55;2346.32;2346.36;244
2024.05.31 04:00;2346.37;2347.69;2345.5;2346.81;455
2024.05.31 04:05;2346.79;2347.58;2344.7;2344.96;426
2024.05.31 04:10;2345.0;2345.76;2344.28;2344.89;451
2024.05.31 04:15;2344.87;2344.87;2343.18;2343.66;448
2024.05.31 04:20;2343.67;2345.81;2343.26;2345.19;420
2024.05.31 04:25;2345.19;2347.1;2345.09;2346.83;366
2024.05.31 04:30;2346.82;2346.95;2345.66;2346.46;417
2024.05.31 04:35;2346.43;2347.5;2346.22;2346.71;413
2024.05.31 04:40;2346.63;2346.88;2345.57;2346.58;364
2024.05.31 04:45;2346.52;2346.81;2345.44;2345.58;348
2024.05.31 04:50;2345.57;2347.05;2345.44;2346.27;332
2024.05.31 04:55;2346.31;2347.31;2345.9;2346.62;325
2024.05.31 05:00;2346.62;2347.26;2346.12;2347.01;338
2024.05.31 05:05;2347.0;2347.79;2346.72;2347.62;323
2024.05.31 05:10;2347.61;2347.62;2346.44;2346.94;344
2024.05.31 05:15;2346.96;2347.53;2346.45;2347.28;235
2024.05.31 05:20;2347.28;2347.28;2346.67;2346.98;166
2024.05.31 05:25;2346.98;2347.4;2346.71;2346.95;161
2024.05.31 05:30;2346.94;2346.97;2345.79;2345.93;299
2024.05.31 05:35;2345.93;2346.42;2345.27;2345.5;304
2024.05.31 05:40;2345.5;2346.31;2342.69;2343.41;365
2024.05.31 05:45;2343.41;2344.35;2343.19;2344.02;382
2024.05.31 05:50;2344.04;2344.82;2342.79;2342.9;344
2024.05.31 05:55;2342.9;2343.38;2342.36;2342.6;370
2024.05.31 06:00;2342.63;2342.65;2337.48;2339.55;455
2024.05.31 06:05;2339.44;2341.03;2339.05;2340.34;381
2024.05.31 06:10;2340.39;2340.77;2338.1;2338.63;380
2024.05.31 06:15;2338.63;2338.96;2337.06;2337.75;402
2024.05.31 06:20;2337.78;2340.05;2337.71;2339.72;372
2024.05.31 06:25;2339.62;2340.19;2339.13;2339.77;363
2024.05.31 06:30;2339.77;2339.89;2339.0;2339.24;254
2024.05.31 06:35;2339.21;2339.44;2338.35;2339.3;213
2024.05.31 06:40;2339.19;2340.97;2338.98;2340.83;226
2024.05.31 06:45;2340.83;2341.94;2340.69;2341.87;209
2024.05.31 06:50;2341.86;2343.53;2341.86;2342.89;237
2024.05.31 06:55;2342.95;2343.76;2342.46;2343.75;212
2024.05.31 07:00;2343.75;2345.01;2343.48;2344.96;248
2024.05.31 07:05;2344.97;2345.55;2344.06;2344.84;264
2024.05.31 07:10;2344.83;2345.01;2343.26;2343.75;246
2024.05.31 07:15;2343.76;2343.78;2342.5;2342.71;288
2024.05.31 07:20;2342.7;2342.83;2342.23;2342.47;188
2024.05.31 07:25;2342.41;2342.86;2342.18;2342.56;180
2024.05.31 07:30;2342.56;2342.95;2341.07;2341.08;194
2024.05.31 07:35;2341.07;2342.2;2341.04;2341.59;216
2024.05.31 07:40;2341.59;2342.9;2341.25;2342.6;184
2024.05.31 07:45;2342.62;2343.01;2342.4;2342.81;241
2024.05.31 07:50;2342.81;2343.53;2342.46;2343.3;257
